B13_D2_04_Dishwasher_T1_2015_11_23_12_51_21.csv,45152,80552
B13_D2_04_Dishwasher_T1_2015_11_23_12_51_21.csv,13785,79185
B13_D2_04_Dishwasher_T1_2015_11_23_12_51_21.csv,3651,55051
B13_D2_04_Dishwasher_T1_2015_11_23_12_51_21.csv,26716,72116
B13_D2_04_Dishwasher_T2_2015_11_26_15_36_06.csv,11700,85600
B13_D2_04_Dishwasher_T2_2015_11_26_15_36_06.csv,11700,75600
B13_D2_04_Dishwasher_T2_2015_11_26_15_36_06.csv,11700,75600
B13_D2_04_Dishwasher_T2_2015_11_26_15_36_06.csv,11700,75600
B13_D1_07_Washingmachine_T1_2015_10_13_09_13_23.csv,10454,51968
B13_D1_07_Washingmachine_T1_2015_10_13_09_13_23.csv,19129,69311
B13_D1_07_Washingmachine_T1_2015_10_13_09_13_23.csv,36499,80498
B13_D1_07_Washingmachine_T1_2015_10_13_09_13_23.csv,2207,60663
B13_D1_07_Washingmachine_T2_2015_12_28_10_18_57.csv,29843,82263
B13_D1_07_Washingmachine_T2_2015_12_28_10_18_57.csv,8538,46272
B13_D1_07_Washingmachine_T2_2015_12_28_10_18_57.csv,3851,45950
B13_D1_07_Washingmachine_T2_2015_12_28_10_18_57.csv,48940,85616
